,Pageview,Revision,Corr.
540,List of October 2019 Hong Kong protests,List of protests in Hong Kong,0.5797826463409627
144,2019 Yuen Long attack,List of August 2019 Hong Kong protests,0.5793136881401215
411,Government of Hong Kong,List of March–June 2019 Hong Kong protests,0.5773609475156721
305,Civil Human Rights Front,List of July 2019 Hong Kong protests,0.5758422383011614
480,List of August 2019 Hong Kong protests,List of protests in Hong Kong,0.5739161784323983
120,2019 Prince Edward station attack,List of protests in Hong Kong,0.5716122047900536
556,List of protests in Hong Kong,Storming of the Legislative Council Complex,0.569367771685446
400,Glory to Hong Kong,Reactions to the 2019–20 Hong Kong protests,0.5625400581167151
154,2019 Yuen Long attack,Police misconduct allegations during the 2019–20 Hong Kong protests,0.5620743046248909
172,2019–20 Hong Kong protests,Lennon Wall (Hong Kong),0.5618662985313382
443,Hong Kong–Mainland China conflict,List of August 2019 Hong Kong protests,0.55925782142403
517,List of March–June 2019 Hong Kong protests,List of November 2019 Hong Kong protests,0.55810350798345
410,Government of Hong Kong,List of July 2019 Hong Kong protests,0.5549323935872493
419,Government of Hong Kong,Reactions to the 2019–20 Hong Kong protests,0.5547374329001269
173,2019–20 Hong Kong protests,List of August 2019 Hong Kong protests,0.5510558005747141
456,Hong Kong–Mainland China conflict,Storming of the Legislative Council Complex,0.5505649563747779
29,12 June 2019 Hong Kong protest,Reactions to the 2019–20 Hong Kong protests,0.5501976762769056
330,Death of Chan Yin-lam,List of November 2019 Hong Kong protests,0.5476706436980211
465,Lennon Wall (Hong Kong),List of protests in Hong Kong,0.5462111342165965
485,List of August 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.5447891751964257
359,Death of Chow Tsz-lok,Reactions to the 2019–20 Hong Kong protests,0.5440884205480719
392,Glory to Hong Kong,List of March–June 2019 Hong Kong protests,0.5388263399281356
256,Causes of the 2019–20 Hong Kong protests,List of July 2019 Hong Kong protests,0.5385646595998375
418,Government of Hong Kong,Police misconduct allegations during the 2019–20 Hong Kong protests,0.5383308442764432
222,Carrie Lam,Demosistō,0.5379485304515577
54,2019 Hong Kong extradition bill,List of March–June 2019 Hong Kong protests,0.5360313452953149
153,2019 Yuen Long attack,"One country, two systems",0.5266466634377783
520,List of March–June 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.5248294478114242
103,2019 Prince Edward station attack,Causes of the 2019–20 Hong Kong protests,0.5198620439091378
375,Demosistō,List of protests in Hong Kong,0.5161150170626825
21,12 June 2019 Hong Kong protest,List of March–June 2019 Hong Kong protests,0.5128286139313937
314,Civil Human Rights Front,Reactions to the 2019–20 Hong Kong protests,0.5112947484952143
45,2019 Hong Kong extradition bill,Demosistō,0.5057162478619369
378,Demosistō,"One country, two systems",0.5055088677084361
399,Glory to Hong Kong,Police misconduct allegations during the 2019–20 Hong Kong protests,0.5050561803822372
442,Hong Kong–Mainland China conflict,Lennon Wall (Hong Kong),0.5036200615973594
562,List of September 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.50258812835387
547,List of October 2019 Hong Kong protests,Storming of the Legislative Council Complex,0.5001787903966914
505,List of July 2019 Hong Kong protests,List of November 2019 Hong Kong protests,0.49810600881859285
367,Demosistō,Hong Kong–Mainland China conflict,0.4978889796961592
351,Death of Chow Tsz-lok,List of March–June 2019 Hong Kong protests,0.49728275679846673
290,Chinese University of Hong Kong conflict,Reactions to the 2019–20 Hong Kong protests,0.4955146169093706
53,2019 Hong Kong extradition bill,List of July 2019 Hong Kong protests,0.48862780645591614
260,Causes of the 2019–20 Hong Kong protests,List of protests in Hong Kong,0.48572813758588995
61,2019 Hong Kong extradition bill,Police misconduct allegations during the 2019–20 Hong Kong protests,0.48568005316900725
167,2019–20 Hong Kong protests,Demosistō,0.48528150782386426
336,Death of Chan Yin-lam,Police misconduct allegations during the 2019–20 Hong Kong protests,0.48319203605816186
313,Civil Human Rights Front,Police misconduct allegations during the 2019–20 Hong Kong protests,0.4828001702594096
484,List of August 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.4820498176765967
508,List of July 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.4788436551399756
111,2019 Prince Edward station attack,HKmap.live,0.4784415804701042
50,2019 Hong Kong extradition bill,Lennon Wall (Hong Kong),0.47831968751275983
391,Glory to Hong Kong,List of July 2019 Hong Kong protests,0.47749693706739915
118,2019 Prince Edward station attack,List of November 2019 Hong Kong protests,0.4759855742466325
561,List of September 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.47517712788444344
62,2019 Hong Kong extradition bill,Reactions to the 2019–20 Hong Kong protests,0.4742299191337406
99,2019 Prince Edward station attack,2019 Yuen Long attack,0.472304959347627
157,2019 Yuen Long attack,Storming of the Legislative Council Complex,0.4720580651665463
522,List of March–June 2019 Hong Kong protests,"One country, two systems",0.4717978944073865
143,2019 Yuen Long attack,Lennon Wall (Hong Kong),0.4703817210655546
282,Chinese University of Hong Kong conflict,List of March–June 2019 Hong Kong protests,0.46977569971276245
510,List of July 2019 Hong Kong protests,"One country, two systems",0.46060661203742165
421,Government of Hong Kong,Storming of the Legislative Council Complex,0.46041005102753013
302,Civil Human Rights Front,Lennon Wall (Hong Kong),0.4600123940033113
252,Causes of the 2019–20 Hong Kong protests,Hong Kong–Mainland China conflict,0.4558158215517193
100,2019 Prince Edward station attack,2019–20 Hong Kong protests,0.4541428521794367
439,HKmap.live,Storming of the Legislative Council Complex,0.45340728183610873
186,2019–20 Hong Kong protests,Storming of the Legislative Council Complex,0.451221695842682
68,2019 Hong Kong local elections,2019 Yuen Long attack,0.45039277053211607
408,Government of Hong Kong,List of August 2019 Hong Kong protests,0.4498814556889684
530,List of November 2019 Hong Kong protests,List of protests in Hong Kong,0.4469411598308551
575,"One country, two systems",Reactions to the 2019–20 Hong Kong protests,0.4459493884860334
585,Reactions to the 2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.4447696783976782
246,Causes of the 2019–20 Hong Kong protests,Death of Chan Yin-lam,0.4431768527110838
369,Demosistō,List of August 2019 Hong Kong protests,0.44314827922599
550,List of protests in Hong Kong,List of September 2019 Hong Kong protests,0.43448966446822196
110,2019 Prince Edward station attack,Government of Hong Kong,0.4339505926276021
