,Article 1,Article 2,Corr.
125,2019 Prince Edward station attack,Hong Kong Human Rights and Democracy Act,0.26458286734864594
488,HKmap.live,Hong Kong 1 July marches,0.26253721169199046
497,HKmap.live,List of March–June 2019 Hong Kong protests,0.2607459738964736
451,Glory to Hong Kong,List of July 2019 Hong Kong protests,0.26049619517112943
376,Death of Chan Yin-lam,List of July 2019 Hong Kong protests,0.25719265381716716
599,Hong Kong–Mainland China conflict,Police misconduct allegations during the 2019–20 Hong Kong protests,0.25571721331401803
458,Glory to Hong Kong,"One country, two systems",0.2555693154575954
537,Hong Kong Human Rights and Democracy Act,List of July 2019 Hong Kong protests,0.25439132467691977
452,Glory to Hong Kong,List of March–June 2019 Hong Kong protests,0.25376641209327155
600,Hong Kong–Mainland China conflict,Reactions to the 2019–20 Hong Kong protests,0.25329316665385476
711,List of September 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.25256335863353796
631,List of August 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.24675441880435714
503,HKmap.live,"One country, two systems",0.245517149234682
424,Demosistō,Lennon Wall (Hong Kong),0.24513983650968377
292,Causes of the 2019–20 Hong Kong protests,List of July 2019 Hong Kong protests,0.23666102936652322
301,Causes of the 2019–20 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.23311534777829043
47,2019 Hong Kong extradition bill,Death of Chan Yin-lam,0.23157360697386506
305,Causes of the 2019–20 Hong Kong protests,Umbrella Movement,0.2311739732383847
436,Demosistō,Reactions to the 2019–20 Hong Kong protests,0.23043661100774004
477,Government of Hong Kong,List of October 2019 Hong Kong protests,0.2293341574023639
501,HKmap.live,List of September 2019 Hong Kong protests,0.22885615600726025
284,Causes of the 2019–20 Hong Kong protests,Hong Kong 1 July marches,0.2288270172577499
386,Death of Chan Yin-lam,Siege of the Hong Kong Polytechnic University,0.22791457071240231
128,2019 Prince Edward station attack,Hong Kong–Mainland China conflict,0.22748617531095647
169,2019 Yuen Long attack,List of October 2019 Hong Kong protests,0.2271719418016676
517,Hong Kong 1 July marches,List of July 2019 Hong Kong protests,0.22667338301455642
427,Demosistō,List of July 2019 Hong Kong protests,0.22557081335289123
352,Civil Human Rights Front,List of October 2019 Hong Kong protests,0.22524367653417718
686,List of October 2019 Hong Kong protests,List of protests in Hong Kong,0.22524367653417715
463,Glory to Hong Kong,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.22489146455503975
706,List of September 2019 Hong Kong protests,"One country, two systems",0.22462124650706497
4,12 June 2019 Hong Kong protest,2019–20 Hong Kong protests,0.22450799054957096
282,Causes of the 2019–20 Hong Kong protests,Government of Hong Kong,0.22035041849629491
123,2019 Prince Edward station attack,HKmap.live,0.2167036275186834
667,List of March–June 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.21626511816819394
262,Carrie Lam,List of July 2019 Hong Kong protests,0.21436662506343185
401,Death of Chow Tsz-lok,List of December 2019 Hong Kong protests,0.2140692255494593
733,Reactions to the 2019–20 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.21397029072483723
708,List of September 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.2135023353433866
499,HKmap.live,List of October 2019 Hong Kong protests,0.21346046831137297
100,2019 Hong Kong local elections,List of October 2019 Hong Kong protests,0.21245146084316507
677,List of November 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.2107211782996538
312,Chinese University of Hong Kong conflict,HKmap.live,0.2099945320695221
639,List of December 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.20980368466403956
729,Police misconduct allegations during the 2019–20 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.20767847478990456
124,2019 Prince Edward station attack,Hong Kong 1 July marches,0.20607938567375791
326,Chinese University of Hong Kong conflict,List of September 2019 Hong Kong protests,0.20581080126945298
121,2019 Prince Edward station attack,Glory to Hong Kong,0.2035523339304957
191,2019–20 Hong Kong protests,Hong Kong 1 July marches,0.20349948878030721
117,2019 Prince Edward station attack,Civil Human Rights Front,0.20323811088590593
136,2019 Prince Edward station attack,List of protests in Hong Kong,0.20323811088590593
215,Art of the 2019–20 Hong Kong protests,Chinese University of Hong Kong conflict,0.20247607359707445
132,2019 Prince Edward station attack,List of July 2019 Hong Kong protests,0.20199001748856493
483,Government of Hong Kong,Reactions to the 2019–20 Hong Kong protests,0.20091757870014793
217,Art of the 2019–20 Hong Kong protests,Death of Chan Yin-lam,0.19805307054411356
440,Demosistō,Umbrella Movement,0.197196173331749
271,Carrie Lam,Reactions to the 2019–20 Hong Kong protests,0.19704043590048362
472,Government of Hong Kong,List of August 2019 Hong Kong protests,0.19514331725241293
662,List of July 2019 Hong Kong protests,Umbrella Movement,0.1948972584311176
75,2019 Hong Kong local elections,2019 Prince Edward station attack,0.1938369213876684
161,2019 Yuen Long attack,Hong Kong,0.19344079318915888
556,Hong Kong Way,List of July 2019 Hong Kong protests,0.19079230639222836
291,Causes of the 2019–20 Hong Kong protests,List of December 2019 Hong Kong protests,0.18878951985341685
141,2019 Prince Edward station attack,Reactions to the 2019–20 Hong Kong protests,0.18782207495002734
553,Hong Kong Way,Lennon Wall (Hong Kong),0.18538372223850158
691,List of October 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.1840142010585144
309,Chinese University of Hong Kong conflict,Demosistō,0.18295339060924265
596,Hong Kong–Mainland China conflict,List of September 2019 Hong Kong protests,0.18273076663118523
137,2019 Prince Edward station attack,List of September 2019 Hong Kong protests,0.18223778369241178
145,2019 Prince Edward station attack,Umbrella Movement,0.18181362380573984
591,Hong Kong–Mainland China conflict,List of July 2019 Hong Kong protests,0.18130742951890258
577,Hong Kong,List of October 2019 Hong Kong protests,0.18111489791137514
212,2019–20 Hong Kong protests,Umbrella Movement,0.18110882900897127
542,Hong Kong Human Rights and Democracy Act,List of September 2019 Hong Kong protests,0.18020291308816314
333,Chinese University of Hong Kong conflict,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.18014424241689947
245,Carrie Lam,Causes of the 2019–20 Hong Kong protests,0.17924246517507614
133,2019 Prince Edward station attack,List of March–June 2019 Hong Kong protests,0.17897746425411756
624,List of August 2019 Hong Kong protests,List of November 2019 Hong Kong protests,0.17779302125248742
194,2019–20 Hong Kong protests,Hong Kong,0.1748070049659735
120,2019 Prince Edward station attack,Demosistō,0.17393596276717527
