,Article 1,Article 2,Corr.
660,List_of_July_2019_Hong_Kong_protests,Storming_of_the_Legislative_Council_Complex,0.6832764585865808
362,Civil_Human_Rights_Front,Umbrella_Movement,0.6786159167567917
247,Carrie_Lam,Civil_Human_Rights_Front,0.6760267654748684
599,Hong_Kong–Mainland_China_conflict,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.6757353064343444
521,Hong_Kong,List_of_protests_in_Hong_Kong,0.6742845297640264
32,12_June_2019_Hong_Kong_protest,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.671804800443146
301,Causes_of_the_2019–20_Hong_Kong_protests,Reactions_to_the_2019–20_Hong_Kong_protests,0.6685358463345346
510,Hong_Kong,Hong_Kong_1_July_marches,0.6655616205996278
410,Death_of_Chow_Tsz-lok,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.6652796307570578
566,Hong_Kong_Human_Rights_and_Democracy_Act,Siege_of_the_Hong_Kong_Polytechnic_University,0.66349261174343
341,Civil_Human_Rights_Front,Hong_Kong,0.6578313440586832
682,List_of_November_2019_Hong_Kong_protests,Siege_of_the_Hong_Kong_Polytechnic_University,0.6570814236064844
255,Carrie_Lam,Hong_Kong_1_July_marches,0.6507293368101189
530,Hong_Kong,Umbrella_Movement,0.64978663477969
735,Siege_of_the_Hong_Kong_Polytechnic_University,Storming_of_the_Legislative_Council_Complex,0.6441273904860684
167,2019_Yuen_Long_attack,List_of_March–June_2019_Hong_Kong_protests,0.6429297189852
467,Government_of_Hong_Kong,Hong_Kong_1_July_marches,0.6406533093442208
166,2019_Yuen_Long_attack,List_of_July_2019_Hong_Kong_protests,0.6372460267037334
342,Civil_Human_Rights_Front,Hong_Kong_1_July_marches,0.636783514505891
550,Hong_Kong_1_July_marches,Umbrella_Movement,0.6362272256602279
128,2019_Prince_Edward_station_attack,Hong_Kong–Mainland_China_conflict,0.6333897201144899
132,2019_Prince_Edward_station_attack,List_of_July_2019_Hong_Kong_protests,0.6293184717403385
664,List_of_March–June_2019_Hong_Kong_protests,List_of_October_2019_Hong_Kong_protests,0.627759863998266
329,Chinese_University_of_Hong_Kong_conflict,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.6270772458488891
652,List_of_July_2019_Hong_Kong_protests,List_of_October_2019_Hong_Kong_protests,0.6259882481516283
690,List_of_October_2019_Hong_Kong_protests,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.6247973244632327
200,2019–20_Hong_Kong_protests,List_of_March–June_2019_Hong_Kong_protests,0.6245229587363911
199,2019–20_Hong_Kong_protests,List_of_July_2019_Hong_Kong_protests,0.622887898184466
40,2019_Hong_Kong_extradition_bill,2019_Yuen_Long_attack,0.622749529008725
269,Carrie_Lam,"One_country,_two_systems",0.6225685216743682
181,2019–20_Hong_Kong_protests,Carrie_Lam,0.6206126309551535
350,Civil_Human_Rights_Front,List_of_March–June_2019_Hong_Kong_protests,0.6168567754239266
567,Hong_Kong_Human_Rights_and_Democracy_Act,Storming_of_the_Legislative_Council_Complex,0.6164389980857516
293,Causes_of_the_2019–20_Hong_Kong_protests,List_of_March–June_2019_Hong_Kong_protests,0.6131365408864525
456,Glory_to_Hong_Kong,List_of_September_2019_Hong_Kong_protests,0.6130324634101412
208,2019–20_Hong_Kong_protests,Reactions_to_the_2019–20_Hong_Kong_protests,0.6124082378522978
725,"One_country,_two_systems",Umbrella_Movement,0.6073190899689528
583,Hong_Kong_Way,Reactions_to_the_2019–20_Hong_Kong_protests,0.6072823146226162
575,Hong_Kong_Way,List_of_March–June_2019_Hong_Kong_protests,0.605798124675472
574,Hong_Kong_Way,List_of_July_2019_Hong_Kong_protests,0.6044987450967594
207,2019–20_Hong_Kong_protests,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.6041004241112619
151,2019_Yuen_Long_attack,Civil_Human_Rights_Front,0.6029318663243944
266,Carrie_Lam,List_of_protests_in_Hong_Kong,0.6013271957716475
212,2019–20_Hong_Kong_protests,Umbrella_Movement,0.5984751987708831
387,Death_of_Chan_Yin-lam,Storming_of_the_Legislative_Council_Complex,0.5982804802843311
175,2019_Yuen_Long_attack,Reactions_to_the_2019–20_Hong_Kong_protests,0.5965310159607266
18,12_June_2019_Hong_Kong_protest,Hong_Kong_Human_Rights_and_Democracy_Act,0.5956774603167786
192,2019–20_Hong_Kong_protests,Hong_Kong_1_July_marches,0.5947508809614971
386,Death_of_Chan_Yin-lam,Siege_of_the_Hong_Kong_Polytechnic_University,0.593941846420221
704,List_of_protests_in_Hong_Kong,Umbrella_Movement,0.592912351991191
594,Hong_Kong–Mainland_China_conflict,List_of_October_2019_Hong_Kong_protests,0.5919887202750377
564,Hong_Kong_Human_Rights_and_Democracy_Act,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.5893061059577107
681,List_of_November_2019_Hong_Kong_protests,Reactions_to_the_2019–20_Hong_Kong_protests,0.5883197306125459
727,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,Siege_of_the_Hong_Kong_Polytechnic_University,0.5871833770469388
544,Hong_Kong_1_July_marches,"One_country,_two_systems",0.5812731567000972
475,Government_of_Hong_Kong,List_of_March–June_2019_Hong_Kong_protests,0.5811079747400101
347,Civil_Human_Rights_Front,List_of_August_2019_Hong_Kong_protests,0.5797229887344248
686,List_of_October_2019_Hong_Kong_protests,List_of_protests_in_Hong_Kong,0.5793474416213376
164,2019_Yuen_Long_attack,List_of_August_2019_Hong_Kong_protests,0.5784059180898838
258,Carrie_Lam,Hong_Kong–Mainland_China_conflict,0.577833534706137
349,Civil_Human_Rights_Front,List_of_July_2019_Hong_Kong_protests,0.5741548374918067
626,List_of_August_2019_Hong_Kong_protests,List_of_protests_in_Hong_Kong,0.5727561499388276
136,2019_Prince_Edward_station_attack,List_of_protests_in_Hong_Kong,0.5713718611055051
702,List_of_protests_in_Hong_Kong,Storming_of_the_Legislative_Council_Complex,0.5691465817197418
604,Hong_Kong–Mainland_China_conflict,Umbrella_Movement,0.5674183198648676
337,Civil_Human_Rights_Front,Demosistō,0.5650138766891009
417,Demosistō,Government_of_Hong_Kong,0.562469177329237
