,revid,parentid,user,userid,timestamp,size,anon,userhidden
59,901640429,901638968,Citobun,19212093.0,2019-06-13T08:51:07Z,62310,,
60,901641027,901640429,Advanced2304,31707713.0,2019-06-13T08:57:53Z,61942,,
61,901641516,901641027,2001:8003:D1DE:1C01:F1BD:93B2:C6E2:E20F,0.0,2019-06-13T09:03:48Z,61759,True,
62,901642879,901641516,Advanced2304,31707713.0,2019-06-13T09:23:20Z,61942,,
63,901642980,901642879,Advanced2304,31707713.0,2019-06-13T09:24:38Z,61943,,
64,901643038,901642980,Advanced2304,31707713.0,2019-06-13T09:25:27Z,61951,,
65,901643074,901643038,Shellwood,2366721.0,2019-06-13T09:25:48Z,61759,,
66,901645659,901643074,Citobun,19212093.0,2019-06-13T09:56:06Z,62310,,
67,901674392,901645659,2A02:810A:8A80:4CD8:8C86:C646:60D6:3FBC,0.0,2019-06-13T14:10:48Z,62306,True,
68,901712942,901674392,82.254.103.231,0.0,2019-06-13T19:29:43Z,62312,True,
69,901743938,901712942,KFK2019,36736311.0,2019-06-14T00:13:11Z,63159,,
